"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"66706177010661","66706129010661",2001,46,2,81,20244,3,1,823,25,.0016,4,,"",2004-06-07,"10661","",2014-10-30,"489998",4,299.86113,5,1
"66706490010661","66706447010661",2001,46,2,81,20247,3,1,746,37,.0022,3,,"",2004-06-07,"10661","",2014-10-30,"489998",3,224.895847,5,1
"66707949010661","66707895010661",2001,46,2,81,28035,2,1,122,9,4.6853,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
"66707958010661","66707895010661",2001,46,2,81,28035,3,1,122,9,4.6853,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
"66707961010661","66707895010661",2001,46,2,81,28035,4,1,122,9,.7497,8,,"",2004-06-07,"10661","",2014-10-30,"489998",8,599.72226,5,1
"66673737010661","66673685010661",2001,46,2,93,21634,2,2,66,23,.8234,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
"66676035010661","66675999010661",2001,46,2,93,21888,2,1,122,9,30,10,,"",2004-06-07,"10661","",2014-10-30,"489998",10,749.652825,5,1
"66676038010661","66675999010661",2001,46,2,93,21888,3,1,122,9,.1874,2,,"",2004-06-07,"10661","",2014-10-30,"489998",2,149.930565,5,1
"66676107010661","66676068010661",2001,46,2,93,21890,1,1,500,43,14.6375,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
"66676109010661","66676068010661",2001,46,2,93,21890,1,1,746,37,42.6544,3,,"",2004-06-07,"10661","",2014-10-30,"489998",3,224.895847,5,1
"66676112010661","66676068010661",2001,46,2,93,21890,2,1,763,43,3.8878,10,,"",2004-06-07,"10661","",2014-10-30,"489998",10,749.652825,5,1
"66682413010661","66682364010661",2001,46,2,103,20316,2,1,763,43,.0059,12,,"",2004-06-07,"10661","",2014-10-30,"489998",12,899.583389,5,1
"66682414010661","66682364010661",2001,46,2,103,20316,3,1,763,43,.1956,8,,"",2004-06-07,"10661","",2014-10-30,"489998",8,599.72226,5,1
"66682416010661","66682364010661",2001,46,2,103,20316,4,1,763,43,.0049,10,,"",2004-06-07,"10661","",2014-10-30,"489998",10,749.652825,5,1
"66684319010661","66684283010661",2001,46,2,103,20788,1,1,122,9,.2811,3,,"",2004-06-07,"10661","",2014-10-30,"489998",3,224.895847,5,1
"66684330010661","66684283010661",2001,46,2,103,20788,2,1,746,37,.4492,2,,"",2004-06-07,"10661","",2014-10-30,"489998",2,149.930565,5,1
"66684334010661","66684283010661",2001,46,2,103,20788,3,1,746,37,11.2302,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
"66684338010661","66684283010661",2001,46,2,103,20788,4,1,122,9,.0937,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
"66680266010661","66680203010661",2001,46,2,103,21252,2,3,122,9,.0001,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
"66680268010661","66680203010661",2001,46,2,103,21252,2,3,544,36,.0256,45,,"",2004-06-07,"10661","",2014-10-30,"489998",45,3373.43771,5,1
"66680420010661","66680369010661",2001,46,2,103,21255,1,1,122,9,.0003,8,,"",2004-06-07,"10661","",2014-10-30,"489998",8,599.72226,5,1
"66680424010661","66680369010661",2001,46,2,103,21255,2,1,122,9,.0003,8,,"",2004-06-07,"10661","",2014-10-30,"489998",8,599.72226,5,1
"66680427010661","66680369010661",2001,46,2,103,21255,3,1,122,9,.0002,6,,"",2004-06-07,"10661","",2014-10-30,"489998",6,449.791695,5,1
"66680430010661","66680369010661",2001,46,2,103,21255,4,1,122,9,.0003,7,,"",2004-06-07,"10661","",2014-10-30,"489998",7,524.756977,5,1
"66680852010661","66680789010661",2001,46,2,103,21269,1,1,701,43,.0029,3,,"",2004-06-07,"10661","",2014-10-30,"489998",3,224.895847,5,1
"66680858010661","66680789010661",2001,46,2,103,21269,1,1,746,37,.0015,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
"66680860010661","66680789010661",2001,46,2,103,21269,1,1,823,25,.0016,2,,"",2004-06-07,"10661","",2014-10-30,"489998",2,149.930565,5,1
"66680862010661","66680789010661",2001,46,2,103,21269,3,2,375,41,.0005,2,,"",2004-06-07,"10661","",2014-10-30,"489998",2,149.930565,5,1
"66680865010661","66680789010661",2001,46,2,103,21269,3,2,763,43,.001,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
"66681821010661","66681781010661",2001,46,2,103,21277,2,1,122,9,.0002,3,,"",2004-06-07,"10661","",2014-10-30,"489998",3,224.895847,5,1
"66681824010661","66681781010661",2001,46,2,103,21277,3,1,122,9,.0002,3,,"",2004-06-07,"10661","",2014-10-30,"489998",3,224.895847,5,1
"66683345010661","66683308010661",2001,46,2,103,24114,1,1,122,9,.0001,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
"66683348010661","66683308010661",2001,46,2,103,24114,2,1,122,9,.0001,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
"66683351010661","66683308010661",2001,46,2,103,24114,2,1,761,43,.0024,5,,"",2004-06-07,"10661","",2014-10-30,"489998",5,374.826412,5,1
"66683353010661","66683308010661",2001,46,2,103,24114,4,1,122,9,.0001,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
"66682600010661","66682557010661",2001,46,2,103,28095,1,1,122,9,.9371,10,,"",2004-06-07,"10661","",2014-10-30,"489998",10,749.652825,5,1
"66682605010661","66682557010661",2001,46,2,103,28095,2,1,122,9,1.3119,14,,"",2004-06-07,"10661","",2014-10-30,"489998",14,1049.513954,5,1
"66682607010661","66682557010661",2001,46,2,103,28095,3,1,122,9,.5622,6,,"",2004-06-07,"10661","",2014-10-30,"489998",6,449.791695,5,1
"66682609010661","66682557010661",2001,46,2,103,28095,4,1,122,9,8.91,5,,"",2004-06-07,"10661","",2014-10-30,"489998",5,374.826412,5,1
"66682615010661","66682557010661",2001,46,2,103,28095,4,1,375,41,18.9593,5,,"",2004-06-07,"10661","",2014-10-30,"489998",5,374.826412,5,1
"66682205010661","66682152010661",2001,46,2,103,28613,2,1,122,9,.0007,20,,"",2004-06-07,"10661","",2014-10-30,"489998",20,1499.305649,5,1
"66682208010661","66682152010661",2001,46,2,103,28613,2,1,746,37,.0022,3,,"",2004-06-07,"10661","",2014-10-30,"489998",3,224.895847,5,1
"66682210010661","66682152010661",2001,46,2,103,28613,4,1,122,9,.0001,3,,"",2004-06-07,"10661","",2014-10-30,"489998",3,224.895847,5,1
"66682213010661","66682152010661",2001,46,2,103,28613,4,1,746,37,.0022,3,,"",2004-06-07,"10661","",2014-10-30,"489998",3,224.895847,5,1
"67170079010661","67170047010661",2002,46,1,7,20521,4,2,122,9,.0012,8,,"",2004-06-08,"10661","",2014-10-30,"489998",8,599.72226,5,2
"67205661010661","67205646010661",2002,46,1,53,20448,1,1,68,9,.0008,3,,"",2004-06-08,"10661","",2014-10-30,"489998",3,224.895847,5,2
"67205662010661","67205646010661",2002,46,1,53,20448,1,1,701,43,.0026,4,,"",2004-06-08,"10661","",2014-10-30,"489998",4,299.86113,5,2
"67205663010661","67205646010661",2002,46,1,53,20448,4,1,68,9,.001,4,,"",2004-06-08,"10661","",2014-10-30,"489998",4,299.86113,5,2
"67206030010661","67206014010661",2002,46,1,53,20510,1,1,763,43,.0026,4,,"",2004-06-08,"10661","",2014-10-30,"489998",4,299.86113,5,2
"67206031010661","67206014010661",2002,46,1,53,20510,3,1,544,36,.0095,1,,"",2004-06-08,"10661","",2014-10-30,"489998",1,74.965282,5,2
"67206032010661","67206014010661",2002,46,1,53,20510,3,1,763,43,.0652,2,,"",2004-06-08,"10661","",2014-10-30,"489998",2,149.930565,5,2
"67206033010661","67206014010661",2002,46,1,53,20510,4,1,972,41,.1424,15,,"",2004-06-08,"10661","",2014-10-30,"489998",15,1124.479237,5,2
"67206184010661","67206170010661",2002,46,1,55,20698,2,1,544,36,.0003,2,,"",2004-06-08,"10661","",2014-10-30,"489998",2,149.930565,5,2
"67209119010661","67209105010661",2002,46,1,71,20757,3,1,68,9,.5368,4,,"",2004-06-08,"10661","",2014-10-30,"489998",4,299.86113,5,2
"67194666010661","67194637010661",2002,46,1,71,20869,1,1,68,9,2.1474,16,,"",2004-06-08,"10661","",2014-10-30,"489998",16,1199.444519,5,2
"67198666010661","67198639010661",2002,46,1,83,20219,1,1,66,23,.0006,4,,"",2004-06-08,"10661","",2014-10-30,"489998",4,299.86113,5,2
"67198667010661","67198639010661",2002,46,1,83,20219,3,1,66,23,.0003,2,,"",2004-06-08,"10661","",2014-10-30,"489998",2,149.930565,5,2
"67198670010661","67198639010661",2002,46,1,83,20219,3,1,823,25,.002,5,,"",2004-06-08,"10661","",2014-10-30,"489998",5,374.826412,5,2
"67198671010661","67198639010661",2002,46,1,83,20219,3,1,972,41,.0046,32,,"",2004-06-08,"10661","",2014-10-30,"489998",32,2398.889038,5,2
"67198673010661","67198639010661",2002,46,1,83,20219,4,1,66,23,.0001,3,,"",2004-06-08,"10661","",2014-10-30,"489998",3,224.895847,5,2
"67198675010661","67198639010661",2002,46,1,83,20219,4,1,972,41,.0001,38,,"",2004-06-08,"10661","",2014-10-30,"489998",38,2848.680733,5,2
"67199412010661","67199396010661",2002,46,1,85,20745,4,2,544,36,.0006,1,,"",2004-06-08,"10661","",2014-10-30,"489998",1,74.965282,5,2
"67199413010661","67199396010661",2002,46,1,85,20745,4,2,763,43,.0196,10,,"",2004-06-08,"10661","",2014-10-30,"489998",10,749.652825,5,2
"67201982010661","67201968010661",2002,46,1,95,20603,4,1,742,37,.0285,4,,"",2004-06-08,"10661","",2014-10-30,"489998",4,299.86113,5,2
"67201983010661","67201968010661",2002,46,1,95,20603,4,1,920,43,.1222,5,,"",2004-06-08,"10661","",2014-10-30,"489998",5,374.826412,5,2
"67202513010661","67202498010661",2002,46,1,101,20229,4,2,763,43,.1076,55,,"",2004-06-08,"10661","",2014-10-30,"489998",55,4123.090535,5,2
"67190025010661","67189996010661",2002,46,1,117,20650,2,1,544,36,.0003,2,,"",2004-06-08,"10661","",2014-10-30,"489998",2,149.930565,5,2
"67190027010661","67189996010661",2002,46,1,117,20650,3,1,763,43,.7579,31,,"",2004-06-08,"10661","",2014-10-30,"489998",31,2323.923756,5,2
"67190029010661","67189996010661",2002,46,1,117,20650,4,1,544,36,.0011,8,,"",2004-06-08,"10661","",2014-10-30,"489998",8,599.72226,5,2
"67191336010661","67191308010661",2002,46,1,121,20559,2,1,823,25,.0031,8,,"",2004-06-08,"10661","",2014-10-30,"489998",8,599.72226,5,2
"67191338010661","67191308010661",2002,46,1,121,20559,3,1,544,36,.0003,2,,"",2004-06-08,"10661","",2014-10-30,"489998",2,149.930565,5,2
"67192090010661","67192059010661",2002,46,1,121,20655,1,2,823,25,.0001,3,,"",2004-06-08,"10661","",2014-10-30,"489998",3,224.895847,5,2
"67192092010661","67192059010661",2002,46,1,121,20655,1,2,972,41,.0001,1,,"",2004-06-08,"10661","",2014-10-30,"489998",1,74.965282,5,2
"67179945010661","67179917010661",2002,46,2,33,20016,4,1,66,23,10.2928,1,,"",2004-06-08,"10661","",2014-10-30,"489998",1,74.965282,5,2
"67179805010661","67179775010661",2002,46,2,33,20066,4,1,122,9,.001,20,,"",2004-06-08,"10661","",2014-10-30,"489998",20,1499.305649,5,2
"67177956010661","67177929010661",2002,46,2,33,20438,2,1,122,9,3.186,34,,"",2004-06-08,"10661","",2014-10-30,"489998",34,2548.819603,5,2
"67178093010661","67178057010661",2002,46,2,33,20446,1,2,122,9,20.0341,3,,"",2004-06-08,"10661","",2014-10-30,"489998",3,224.895847,5,2
"67178094010661","67178057010661",2002,46,2,33,20446,2,2,122,9,23.4186,3,,"",2004-06-08,"10661","",2014-10-30,"489998",3,224.895847,5,2
"67178096010661","67178057010661",2002,46,2,33,20446,4,1,122,9,.0001,1,,"",2004-06-08,"10661","",2014-10-30,"489998",1,74.965282,5,2
"67178166010661","67178134010661",2002,46,2,33,20449,1,1,122,9,.0012,31,,"",2004-06-08,"10661","",2014-10-30,"489998",31,2323.923756,5,2
"67178167010661","67178134010661",2002,46,2,33,20449,3,1,122,9,.0011,30,,"",2004-06-08,"10661","",2014-10-30,"489998",30,2248.958474,5,2
"67178170010661","67178134010661",2002,46,2,33,20449,4,1,122,9,.0001,1,,"",2004-06-08,"10661","",2014-10-30,"489998",1,74.965282,5,2
"67178408010661","67178380010661",2002,46,2,33,20457,1,1,122,9,.0001,3,,"",2004-06-08,"10661","",2014-10-30,"489998",3,224.895847,5,2
